滴滴中航	Didi-AVIC	ZHXT01	中航信托	AVIC Trust	10000	滴滴中航	Didi-AVIC	AVICTC2019X1856			DIDI201908161538	滴滴-中航一期	DIDI201908161538	滴滴中航	Didi-AVIC	30000000	DIDI201908161538	滴滴中航	Didi-AVIC	vt_DIDI201908161538	滴滴中航	Didi-AVIC
盒伙人	iboxpay	YNXT01	云南信托	Yunnan Trust	0001	盒子支付	iboxpay	J60300			001503	盒子科技1503	J60300	云信普惠1023号	Yunnan Trust-Puhui1023	0	001503	盒伙人员工贷1	iboxpay-EmployeeLoan 1	vt_001503	盒伙人员工贷1	iboxpay-EmployeeLoan 1
盒子	iboxpay	YNXT01	云南信托	Yunnan Trust	0001	盒子支付	iboxpay	J75500			001504	盒子科技1504	J75500	云信普惠1032号	Yunnan Trust-Puhui1032	0	001504	盒伙人员工贷2	iboxpay-EmployeeLoan 2	vt_001504	盒伙人员工贷2	iboxpay-EmployeeLoan 2
盒子-新分享-消费贷-2019年第3期		YNXT01	云南信托	Yunnan Trust	0001	盒子支付	iboxpay				001505	盒子科技1505				0	001505	盒子科技1505				
凤金1期	Fengjr 	YNXT01	云南信托	Yunnan Trust	0004	凤凰金融	Fengjr 	J75500			J75500	云信普惠1032号	J75500	云信普惠1032号	Yunnan Trust-Puhui1032	0	001506	凤凰金融1期	Fengjr -No.1	vt_001506	凤凰金融1期	Fengjr -No.1
凤金	Fengjr 	YNXT01	云南信托	Yunnan Trust	0004	凤凰金融	Fengjr 	J90400			J90400	云信普惠635号	J90400	云信普惠635号	Yunnan Trust-Puhui635	0	001507	凤凰金融2期	Fengjr -No.2	vt_001507	凤凰金融2期	Fengjr -No.2
凤金	Fengjr 	YNXT01	云南信托	Yunnan Trust	0004	凤凰金融	Fengjr 	J90400			J90400	云信普惠635号	J90400	云信普惠635号	Yunnan Trust-Puhui635	0	J90400	信托机构号-凤凰金融	Fengjr -No.2			
汇通	Huitong 	HYBL01	和赢保理	We-winnings	0003	汇通信诚	Huitong Leasing				001601	汇通-和赢001601	WS10043190001	汇通增量	Huitong Zengliang	0	001601	汇通车分期-非LCV新车	Huitong-Non-LCV New Car	vt_001601	汇通车分期-非LCV新车	Huitong-Non-LCV New Car
汇通	Huitong 	HYBL01	和赢保理	We-winnings	0003	汇通信诚	Huitong Leasing						WS10043190001	汇通增量	Huitong Zengliang	0	001602	汇通车分期-非LCV二手车	Huitong-Non-LCV Secondhand	vt_001602	汇通车分期-非LCV二手车	Huitong-Non-LCV Secondhand
汇通	Huitong 	HYBL01	和赢保理	We-winnings	0003	汇通信诚	Huitong Leasing						WS10043190001	汇通增量	Huitong Zengliang	0	001603	汇通车分期-LCV新车	Huitong-LCV New Car	vt_001603	汇通车分期-LCV新车	Huitong-LCV New Car
瓜子民生	Guazi-Minsheng	MSJZ01	民生金租	Minsheng Financial Leasing	0005	瓜子	Guazi				WS0005200001	瓜子民生	WS0005200001	瓜子民生	Guazi-Minsheng	0	001701	新车融资租赁	New car Leasing 	vt_001701	新车融资租赁	New car Leasing 
